TexteA,TextB,TextAPT,TextBPT,TFIDF,Jaccard_Distance,Levenshtein_Distance,NGram-Similarity,EXPECTED,RESULT,Score Keywords
Jon Huntsman accuses Mitt Romney of flip-flopping on abortion,DNC ad says Mitt Romney flip-flopped on abortion,jon huntsman accuses mitt romney flipflopping abortion ,dnc ad mitt romney flipflopped abortion ,0.3,0.7142857142857143,20,0.0,E*,N,1.0
"Bob McDonnell says Virginia has gained 60,000 jobs since he became governor ","Bob McDonnell says Virginia has gained 60,000 jobs since he became governor ",bob mcdonnell virginia gained 60000 jobs since became governor ,bob mcdonnell virginia gained 60000 jobs since became governor ,1.0,1.0,0,0.9,E,E,1.0
Why Crimea matters to Russia,Historical claim shows why Crimea matters to Russia,crimea matters russia ,historical claim shows crimea matters russia ,0.58,0.7142857142857143,23,0.6666666666666666,E*,ST,0.7092972666062738
Samuel ''Joe the Plumber'' Wurzelbacher says Marcy Kaptur opposed a ban on gender abortions,Samuel ''Joe the Plumber'' Wurzelbacher says Marcy Kaptur opposed a ban on gender abortions,samuel joe plumber wurzelbacher marcy kaptur opposed ban gender abortions ,samuel joe plumber wurzelbacher marcy kaptur opposed ban gender abortions ,1.0,1.0,0,1.0,E,E,1.0000000000000002
Gun claim goes awry,Congressman uses wrong words on gun claim,gun claim goes awry ,congressman uses wrong words gun claim ,0.26,0.875,30,0.0,ST,N,1.0
Wisconsin Democratic Party spokesman Zielinski says Gov. Walker is helping defend man accused of ‘boy rape’,Wisconsin Democratic Party spokesman Zielinski says Gov. Walker is helping defend man accused of ‘boy rape’,wisconsin democratic party spokesman zielinski gov walker helping defend man accused boy rape ,wisconsin democratic party spokesman zielinski gov walker helping defend man accused boy rape ,1.0,1.0,0,1.0,E,E,1.0
Marco Rubio says Iran deal means we have to help defend Iran from Israel or other allies,Trump says Iran deal forces U.S. to defend Iran if it's attacked by Israel,marco rubio iran deal means help defend iran israel allies ,trump iran deal forces us defend iran attacked israel ,0.44,0.7894736842105263,29,0.08333333333333333,E*,ST,0.7765145304745156
Another outside group says Bill Nelson was the deciding vote,Was Florida's Bill Nelson ''the deciding vote'' on the health care law?,another outside group bill nelson deciding vote ,floridas bill nelson deciding vote health care law ,0.37,0.8,33,0.125,E*,ST,0.7995189954301455
"Super PAC's $1 trillion tax claim against Hillary Clinton ignores timeframe, who would pay","In PA, Pence repeats half-true claim that Clinton would raise taxes by a trillion dollars",super pacs 1 trillion tax claim hillary clinton ignores timeframe would pay ,pa pence repeats halftrue claim clinton would raise taxes trillion dollars ,0.22,0.8636363636363636,55,0.0,E*,N,0.3032160644503863
Rick Perry says Mitt Romney shifted stance when he deleted health care line from his book,Rick Perry says Mitt Romney's book deleted line that Mass. health care law ''should be the model for the country'',rick perry mitt romney shifted stance deleted health care line book ,rick perry mitt romneys book deleted line mass health care law model country ,0.51,0.8571428571428571,34,0.21428571428571427,E,ST,0.7092972666062739
Obama says Romney would spend $2 trillion that the military hasn't asked for,Obama says Romney would spend $2 trillion that the military hasn't asked for,obama romney would spend 2 trillion military hasnt asked ,obama romney would spend 2 trillion military hasnt asked ,1.0,1.0,0,1.0,E,E,1.0000000000000002
Clinton wrongly says she was only one in primaries to nix middle-class tax hikes,Clinton repeats wrong claim that no other 2016 candidate pledged not to raise middle-class taxes,clinton wrongly one primaries nix middleclass tax hikes ,clinton repeats wrong claim two thousand sixteen candidate pledged raise middleclass taxes ,0.12,0.8571428571428571,52,0.0,ST,N,0.5797386715376658
Claim: New Jersey has had 7 credit downgrades since Chris Christie took office,Democratic pundit Donna Brazile says N.J. credit rating fell record 9 time under Chris Christie,claim new jersey seven credit downgrades since chris christie took office ,democratic pundit donna brazile nj credit rating fell record nine time chris christie ,0.15,0.68,59,0.0,ST,N,0.3720557314537373
Health care exchange is government's way of regulating insurers,Health Choices Commissioner does not decide your health benefits,health care exchange governments way regulating insurers ,health choices commissioner decide health benefits ,0.16,0.5909090909090909,37,0.0,ST,N,1.0000000000000002
"U. S. Rep. David Cicilline says that when he was mayor of Providence, the city’s internal auditor was not blocked from accessing financial records","Brendan Doherty says incumbent U.S. Rep. David Cicilline, as Providence mayor, intentionally missed deadlines for providing information to the city's external auditors",u rep david cicilline mayor providence citys internal auditor blocked accessing financial records ,brendan doherty incumbent us rep david cicilline providence mayor intentionally missed deadlines providing information citys external auditors ,0.27,0.8695652173913043,89,0.2,ST,N,0.4502681446556264
"House Speaker John Boehner says Obama's economists figure stimulus cost at $278,000 per job","David Dewhurst says president's economists say stimulus-created jobs cost $278,000 each",house speaker john boehner obamas economists figure stimulus cost 278000 per job ,david dewhurst presidents economists stimuluscreated jobs cost 278000 ,0.18,0.7777777777777778,50,0.0,E*,N,0.44943641652398214
Mitt Romney says ''Obamacare'' means up to 20 million Americans will lose insurance they like and want,Mitt Romney says up to 20 million will lose health insurance due to Obama health care law,mitt romney obamacare means twenty million americans lose insurance like want ,mitt romney twenty million lose health insurance due obama health care law ,0.32,0.8421052631578947,50,0.13333333333333333,E,N,0.7092972666062739
Obama: Iran has not advanced nuclear ambitions since U.S. negotiations started,Stephen Hayes: Iran cheated on the interim nuclear deal,obama iran advanced nuclear ambitions since us negotiations started ,stephen hayes iran cheated interim nuclear deal ,0.15,0.65,50,0.0,ST,N,1.0000000000000002
"NRCC says stimulus supported by New Jersey Democrats cost $278,000 per job","David Dewhurst says president's economists say stimulus-created jobs cost $278,000 each",nrcc stimulus supported new jersey democrats cost 278000 per job ,david dewhurst presidents economists stimuluscreated jobs cost 278000 ,0.13,0.88,53,0.0,E*,N,0.44943641652398214
Church claims commitment as ethnic heritage,Any race may join Chicago church,church claims commitment ethnic heritage ,race may join chicago church ,0.11,0.7058823529411765,30,0.0,ST,N,1.0
Donald Trump's inventions about Richard Blumenthal and Vietnam,Donald Trump: Sen. Blumenthal 'lied about his service' in Vietnam,donald trumps inventions richard blumenthal vietnam ,donald trump sen blumenthal lied service vietnam ,0.3,1.0,25,0.0,E*,N,1.0000000000000002
"Ed Schultz says Walmart workers rely on $5,800 in public assistance a year","Alan Grayson says more Walmart employees on Medicaid, food stamps than other companies",ed schultz walmart workers rely 5800 public assistance year ,alan grayson walmart employees medicaid food stamps companies ,0.06,0.6153846153846154,46,0.0,ST,N,0.5797386715376658
Did Chris Christie's New Jersey create no net new jobs last year?,"Under Chris Christie, does New Jersey have ''one of the higher unemployment rates in the country''?",chris christies new jersey create net new jobs last year ,chris christie new jersey one higher unemployment rates country ,0.25,0.75,28,0.0,ST,N,1.0000000000000002
R.I. Bishop Thomas Tobin says abortions make up 94% of Planned Parent services for pregnant women,Fox Business reporter: 95% of Planned Parenthood's 'pregnancy services' were abortions,ri bishop thomas tobin abortions make 94 planned parent services pregnant women ,fox business reporter 95 planned parenthoods pregnancy services abortions ,0.17,0.6666666666666666,57,0.0,E*,N,0.2789425453258252
Does Clackamas County have more urban renewal debt than all the other counties combined?,Will a countywide vote on urban renewal cost taxpayers “a fortune” and an alternative backed by Clackamas County commissioners cost less?,clackamas county urban renewal debt counties combined ,countywide vote urban renewal cost taxpayers fortune alternative backed clackamas county commissioners cost less ,0.24,0.8181818181818182,79,0.0,ST,N,1.0000000000000002
Ad says President Barack Obama put in place 'historic fuel efficiency standards',President Barack Obama says he raised fuel standards after '30 years of inaction',ad president barack obama put place historic fuel efficiency standards ,president barack obama raised fuel standards 30 years inaction ,0.36,0.8636363636363636,41,0.1,E*,,0.22028815056182974
Not a Muslim; not Mohammed,Any race may join Chicago church,muslim mohammed ,race may join chicago church ,0.0,0.47058823529411764,23,0.0,ST,N,1.0
Recovery.gov shows jobs in Congressional districts that don't exist,Nonexistent congressional districts were on Recovery.gov. They're gone now.,recoverygov shows jobs congressional districts dont exist ,nonexistent congressional districts recoverygov theyre gone ,0.3,0.85,39,0.0,ST,N,0.7092972666062739
Not a Muslim; not Mohammed,Church claims commitment as ethnic heritage,muslim mohammed ,church claims commitment ethnic heritage ,0.0,0.625,32,0.0,ST,N,1.0
DNC ad says Mitt Romney flip-flopped on Obama stimulus,Did Mitt Romney flip-flop on the economic stimulus?,dnc ad mitt romney flipflopped obama stimulus ,mitt romney flipflop economic stimulus ,0.34,0.8333333333333334,14,0.16666666666666666,E*,N,0.1273595297947935
Charlie Bass says expiration of Bush tax cuts would be highest tax increase in history,Quico Canseco says Bush cuts expiring would cause biggest U.S. tax hike ever,charlie bass expiration bush tax cuts would highest tax increase history ,quico canseco bush cuts expiring would cause biggest us tax hike ever ,0.26,0.8260869565217391,53,0.0,E*,N,0.5797386715376658
A fair summary of what he said,"Straight talk, twisted",fair summary ,straight talk twisted ,0.0,0.29411764705882354,18,0.0,ST,N,1.0
"Rep, Chris Van Hollen says insurance premiums doubled between 2000 and 2006",Rep. Chris Van Hollen says insurance company profits quadrupled,rep chris van hollen insurance premiums doubled two thousand two thousand six ,rep chris van hollen insurance company profits quadrupled ,0.29,0.7391304347826086,37,0.5714285714285714,ST,N,1.0000000000000002
Ad from Sen. Barbara Boxer attacks Carly Fiorina for layoffs at HP,"Cyber-squatter accuses Carly Fiorina of wishing she'd laid off 30,000 employees more quickly",ad sen barbara boxer attacks carly fiorina layoffs hp ,cybersquatter accuses carly fiorina wishing shed laid 30000 employees quickly ,0.12,0.6923076923076923,56,0.0,ST,N,0.3489939079552687
"DNC chair says Chris Christie cut equal pay for women, called it ‘senseless bureaucracy’","Did Chris Christie veto equal pay for women, as Ultraviolet says? ",dnc chair chris christie cut equal pay women called senseless bureaucracy ,chris christie veto equal pay women ultraviolet ,0.41,0.8571428571428571,38,0.2222222222222222,ST,ST,0.6569729210330907
"Carlos Lopez-Cantera was an enthusiastic supporter of Arizona-style law, Allison Tant says",Democratic Hispanic group says Carlos Lopez-Cantera ''staunchly supported'' an immigration enforcement bill,carlos lopezcantera enthusiastic supporter arizonastyle law allison tant ,democratic hispanic group carlos lopezcantera staunchly supported immigration enforcement bill ,0.13,0.7272727272727273,62,0.1,ST,N,1.0
Mark Warner exaggerates in saying Donald Trump is 'OK' with nuclear proliferation,Donald Trump wrongly tweets that he 'never said' more countries should have nuclear weapons,mark warner exaggerates saying donald trump ok nuclear proliferation ,donald trump wrongly tweets never countries nuclear weapons ,0.22,0.8181818181818182,48,0.0,ST,N,1.0
Congressman repeats Mostly True claim: Donald Trump ‘rooted for the housing crisis’,Elizabeth Warren says Donald Trump was excited for 2008 housing crash,congressman repeats mostly true claim donald trump rooted housing crisis ,elizabeth warren donald trump excited two thousand eight housing crash ,0.18,0.7727272727272727,48,0.0,E*,N,0.5797386715376658
Rick Scott says Charlie Crist let college tuition increase up to 15 percent every year,"Charlie Crist signed 'an automatic 15 percent annual tuition increase,' Rick Scott's campaign says",rick scott charlie crist let college tuition increase fifteen percent every year ,charlie crist signed automatic fifteen percent annual tuition increase rick scotts campaign ,0.41,0.8095238095238095,63,0.0,E*,,1.0000000000000002
"Obama to blame for defense sequestration, says Romney ad",Barack Obama says Congress owns sequestration cuts,obama blame defense sequestration romney ad ,barack obama congress owns sequestration cuts ,0.2,0.6190476190476191,27,0.0,E*,N,0.3748077700589727
Is the Pasco County school district keeping up with class size requirements?,"Pasco County schools have graduation rates above the state average and dropout rates below the state average, says Heather Fiorentino",pasco county school district keeping class size requirements ,pasco county schools graduation rates state average dropout rates state average heather fiorentino ,0.09,0.7391304347826086,58,0.0,ST,N,1.0
Nonexistent congressional districts were on Recovery.gov. They're gone now.,Recovery.gov assigns statewide education jobs to one congressional district,nonexistent congressional districts recoverygov theyre gone ,recoverygov assigns statewide education jobs one congressional district ,0.17,0.7142857142857143,59,0.0,E*,N,1.0000000000000002
"Gov. Scott Walker says if public employees don’t start paying more for benefits by April 1, “the equivalent” is 1,500 layoffs now and 10,000 to 12,000 in next budget",Wisconsin state Sen. Jon Erpenbach claims there is no urgency to pass budget repair bill,gov scott walker public employees dont start paying benefits april 1 equivalent 1500 layoffs 10000 12000 next budget ,wisconsin state sen jon erpenbach claims urgency pass budget repair bill ,0.04,0.6333333333333333,90,0.0,N,N,1.0000000000000002
U.S. Senate candidate Barry Hinckley says Sen. Sheldon Whitehouse will have added nearly $8 trillion to the national debt during his first term,U.S. Senate candidate Barry Hinckley says incumbent Sen. Sheldon Whitehouse voted for a $525-billion tax hike on the middle class,us senate candidate barry hinckley sen sheldon whitehouse added nearly 8 trillion national debt first term ,us senate candidate barry hinckley incumbent sen sheldon whitehouse voted 525billion tax hike middle class ,0.37,0.76,44,0.3333333333333333,ST,,0.1785662155575748
Marco Rubio says Ted Cruz supports legal status and work permits for 'illegal' immigrants,Marco Rubio wrongly says Ted Cruz supports 'legalizing people who are in this country illegally',marco rubio ted cruz supports legal status work permits illegal immigrants ,marco rubio wrongly ted cruz supports legalizing people country illegally ,0.32,0.9047619047619048,38,0.16666666666666666,ST,N,1.0
"Lincoln Chafee says, as R.I. governor, only four states had bigger drops in unemployment rate",Gov. Lincoln Chafee says R.I. legislature is strongest in U.S,lincoln chafee ri governor four states bigger drops unemployment rate ,gov lincoln chafee ri legislature strongest us ,0.22,0.7619047619047619,44,0.125,N,N,0.08704446792504217
Rick Scott says All Aboard is '100% private venture' and 'no state money involved',Charlie Crist says All Aboard Florida is 'receiving millions in Florida taxpayer dollars',rick scott aboard 100 private venture state money involved ,charlie crist aboard florida receiving millions florida taxpayer dollars ,0.05,0.68,52,0.09090909090909091,ST,N,1.0000000000000002
Goodlatte: Obama said 22 times he lacks power to change immigration law,Goodlatte says Obama has flip-flopped on his power to order immigration reform,goodlatte obama twentytwo times lacks power change immigration law ,goodlatte obama flipflopped power order immigration reform ,0.34,0.7142857142857143,31,0.0,ST,N,1.0
Dan Patrick went from ‘unequivocally support’ to ‘would not be in favor of’ repeal,"David Dewhurst went from ‘You betcha, Kemosabe’ to ‘I would not be in favor of’ repeal",dan patrick went unequivocally support would favor repeal ,david dewhurst went betcha kemosabe would favor repeal ,0.34,0.782608695652174,30,0.4166666666666667,E,N,1.0000000000000002
Klobuchar says U.S. is world's No. 1 oil producer,"Obama: America is No. 1 producer of oil, gas",klobuchar us worlds one oil producer ,obama america one producer oil gas ,0.34,0.7368421052631579,26,0.0,ST,N,0.44943641652398214
Jon Huntsman says U.S. has more natural gas than Saudi Arabia has oil,Jon Huntsman says U.S. natural gas in greater supply than Saudi Arabian oil,jon huntsman us natural gas saudi arabia oil ,jon huntsman us natural gas greater supply saudi arabian oil ,0.65,0.8421052631578947,16,0.2727272727272727,E,E,0.22028815056182974
Schultz claims that Landrieu got $1.8 million in BP PAC and employee contributions,Russ Feingold says Ron Johnson would become the 70th millionaire in the Senate if elected,schultz claims landrieu got 18 million bp pac employee contributions ,russ feingold ron johnson would become 70th millionaire senate elected ,0.0,0.6296296296296297,59,0.0,N,N,0.0
Michael Bloomberg: NRA used to support more background checks,"Barack Obama says, 'The NRA used to support expanded background checks.'",michael bloomberg nra used support background checks ,barack obama nra used support expanded background checks ,0.51,0.85,22,0.2857142857142857,E*,,1.0
"UPDATED: Rick Perry says Texas created 1.5 million jobs in seven years, rest of country down 400,000","Rick Perry says Texas gained a million jobs while rest of country lost 400,000",updated rick perry texas created 15 million jobs seven years rest country 400000 ,rick perry texas gained million jobs rest country lost 400000 ,0.55,0.8461538461538461,33,0.25,E,,0.1506401849870651
"Five years on, chain email about cancer treatment rationing after age 76 is still Pants on Fire",Will seniors be denied cancer treatment under Obamacare?,five years chain email cancer treatment rationing age seventysix still pants fire ,seniors denied cancer treatment obamacare ,0.15,0.5238095238095238,52,0.0,ST,N,0.7092972666062739
Did Scott Walker flip-flop on how budget shortfalls are measured??,Has Scott Walker changed his view on ethanol mandates?,scott walker flipflop budget shortfalls measured ,scott walker changed view ethanol mandates ,0.2,0.7272727272727273,27,0.0,N,N,0.0
"Kent Conrad says federal spending's share of GDP is at 60-year peak, tax revenues at 60-year low",Rand Paul says federal spending has risen to 25 percent of GDP,kent conrad federal spendings share gdp 60year peak tax revenues 60year low ,rand paul federal spending risen twentyfive percent gdp ,0.11,0.75,46,0.1,ST,N,0.5245910904457138
Texas Democratic Party says Ted Cruz opposes DREAM Act and 85% of Latinos support it,"Most Hispanics support the DREAM Act, but Marco Rubio does not",texas democratic party ted cruz opposes dream act 85 latinos support ,hispanics support dream act marco rubio ,0.23,0.6363636363636364,43,0.0,ST,N,0.33517574332792605
"U. S. Rep. David Cicilline says that when he was mayor of Providence, the city’s internal auditor was not blocked from accessing financial records",U.S. Rep. David Cicilline says Republican opponent Brendan Doherty wants to repeal Obamacare and increase drug prices for seniors,u rep david cicilline mayor providence citys internal auditor blocked accessing financial records ,us rep david cicilline republican opponent brendan doherty wants repeal obamacare increase drug prices seniors ,0.13,0.8260869565217391,68,0.23529411764705882,N,N,0.0
Not a Muslim; not Mohammed,Obama decried Farrakhan's racism,muslim mohammed ,obama decried farrakhans racism ,0.0,0.5294117647058824,26,0.0,N,N,1.0
Bush didn't repeal it; Obama would expand it,"Larger estates will be taxed, just like now",bush didnt repeal obama would expand ,larger estates taxed like ,0.0,0.5,30,0.0,N,N,1.0
Barack Obama says minimum wage is lower now than under Harry Truman,Barack Obama says the minimum wage was higher during Ronald Reagan's first State of the Union,barack obama minimum wage lower harry truman ,barack obama minimum wage higher ronald reagans first state union ,0.32,0.8095238095238095,29,0.1,ST,N,0.7765145304745156
"U. S. Rep. David Cicilline says that when he was mayor of Providence, the city’s internal auditor was not blocked from accessing financial records",Talk show host John DePetro says Providence was a “sanctuary city” under Mayor David Cicilline,u rep david cicilline mayor providence citys internal auditor blocked accessing financial records ,talk show host john depetro providence sanctuary city mayor david cicilline ,0.21,0.75,68,0.0,N,N,0.1144676006896003
Senate Majority PAC says Scott Brown got $400K in 'big oil' contributions,"Jeanne Shaheen says 'Big Oil' gave Scott Brown $454,260",senate majority pac scott brown got 400k big oil contributions ,jeanne shaheen big oil gave scott brown 454260 ,0.29,0.6296296296296297,49,0.0,E*,N,0.5031026124151314
Donald Trump says NAFTA killed millions of jobs. That's not proven,Donald Trump has a point that NAFTA shuttered thousands of plants,donald trump nafta killed millions jobs thats proven ,donald trump point nafta shuttered thousands plants ,0.25,0.8,33,0.0,ST,N,1.0000000000000002
"Gov. Rick Scott says he is almost halfway done with '700,000 jobs' promise","Rick Scott changed the terms of his promise to create 700,000 jobs on top of natural growth, ad says",gov rick scott almost halfway done 700000 jobs promise ,rick scott changed terms promise create 700000 jobs top natural growth ad ,0.32,0.8461538461538461,45,0.0,ST,N,1.0000000000000002
Ken Block knocks Republican Allan Fung's donations to controversial Democrats,Allan Fung says he had to pay a $100 hazardous materials fee to the state when he hired a campaign manager,ken block knocks republican allan fungs donations controversial democrats ,allan fung pay 100 hazardous materials fee state hired campaign manager ,0.05,0.68,64,0.0,N,N,0.0
Adam Hasner says Lois Frankel used a police chopper to get to dinner party,Lois Frankel's mayoral bathroom takes a hit in Adam Hasner attack ad,adam hasner lois frankel used police chopper get dinner party ,lois frankels mayoral bathroom takes hit adam hasner attack ad ,0.18,0.8095238095238095,50,0.0,N,N,1.0
Tennessee Congresswoman Diane Black says jobless rate has been 8 percent or higher for 40 straight months,Reince Priebus says unemployment has been above 8 percent for a record 36 months,tennessee congresswoman diane black jobless rate eight percent higher forty straight months ,reince priebus unemployment eight percent record thirtysix months ,0.18,0.7083333333333334,52,0.0,ST,N,0.26055567105626243
No free health care for illegal immigrants in the health bill,Health Choices Commissioner does not decide your health benefits,free health care illegal immigrants health bill ,health choices commissioner decide health benefits ,0.31,0.8235294117647058,35,0.0,N,N,0.5031026124151314
DNC ad says Mitt Romney flip-flopped on taxpayer pledge,Did Mitt Romney flip-flop on TARP?,dnc ad mitt romney flipflopped taxpayer pledge ,mitt romney flipflop tarp ,0.24,0.7647058823529411,21,0.25,ST,N,0.0
Is Scott Walker right that there are more people working than ever?,Scott Walker says 2013 job growth in Wisconsin was best since 1990s,scott walker right people working ever ,scott walker two thousand thirteen job growth wisconsin best since 1990s ,0.14,0.625,48,0.0,N,N,0.5797386715376658
"Tim Kaine said Trump ticket wants to deport 16 million, end birthright citizenship",Hillary Clinton exaggerates by saying Donald Trump plans to deport 16 million people,tim kaine trump ticket wants deport sixteen million end birthright citizenship ,hillary clinton exaggerates saying donald trump plans deport sixteen million people ,0.22,0.782608695652174,66,0.09090909090909091,ST,N,0.3032160644503863
"More Americans killed by guns since 1968 than in all U.S. wars, columnist Nicholas Kristof writes",Gun control group says since 1963 more Americans have died by firearms than in all U.S. wars,americans killed guns since one thousand nine hundred sixtyeight us wars columnist nicholas kristof writes ,gun control group since one thousand nine hundred sixtythree americans died firearms us wars ,0.38,0.9090909090909091,52,0.2857142857142857,E*,ST,0.5797386715376658
"U. S. Rep. David Cicilline says that when he was mayor of Providence, the city’s internal auditor was not blocked from accessing financial records",U.S. Rep. David Cicilline says Providence made full pension contributions six of eight years that he was mayor,u rep david cicilline mayor providence citys internal auditor blocked accessing financial records ,us rep david cicilline providence made full pension contributions six eight years mayor ,0.25,0.8695652173913043,54,0.3125,N,N,0.2232732128507234
Mitt Romney says Barack Obama ''traveled around the globe to apologize for America.”,Obama's remarks never a true 'apology',mitt romney barack obama traveled around globe apologize america ,obamas remarks never true apology ,0.0,0.7619047619047619,44,0.0,ST,N,0.5797386715376658
Florida GOP says Charlie Crist 'made it easier for Duke to take your money',PAC accuses Rick Scott of letting Duke Energy fleece customers,florida gop charlie crist made easier duke take money ,pac accuses rick scott letting duke energy fleece customers ,0.06,0.95,47,0.0,ST,N,1.0000000000000002
American LeadHERship PAC says Providence has had 100 shootings each year of Angel Taveras' tenure,Mayor Angel Taveras says high school graduation rates are up in Providence,american leadhership pac providence one hundred shootings year angel taveras tenure ,mayor angel taveras high school graduation rates providence ,0.19,1.0,60,0.0,N,N,0.15064018498706513
"Senate rival Tommy Thompson backs ''Obamacare,'' says it can't be repealed, fellow GOP candidate Eric Hovde says",Republican Tommy Thompson says Club for Growth Wisconsin ''has endorsed'' him for U.S. Senate,senate rival tommy thompson backs obamacare cant repealed fellow gop candidate eric hovde ,republican tommy thompson club growth wisconsin endorsed us senate ,0.16,0.8260869565217391,59,0.0,N,N,0.0
Hillary Clinton faults Donald Trump for hoping for real estate crash that led to the Great Recession,Elizabeth Warren says Donald Trump was excited for 2008 housing crash,hillary clinton faults donald trump hoping real estate crash led great recession ,elizabeth warren donald trump excited two thousand eight housing crash ,0.16,0.7391304347826086,55,0.0,ST,N,0.4736820224661605
"State Department under Hillary Clinton refused security requests for Benghazi, Paul Ryan says","Hillary Clinton's State Department cut security in Libya before deadly terror attacks, Sen. Ron Johnson says",state department hillary clinton refused security requests benghazi paul ryan ,hillary clintons state department cut security libya deadly terror attacks sen ron johnson ,0.22,0.75,65,0.0,E*,N,1.0
Schultz claims that Landrieu got $1.8 million in BP PAC and employee contributions,Congressman: Roughly half of super PAC money coming from ''super rich'',schultz claims landrieu got 18 million bp pac employee contributions ,congressman roughly half super pac money coming super rich ,0.05,0.6956521739130435,51,0.0,N,N,0.4494364165239822
"U.S. Rep. David Cicilline says he voted for tougher laws against child abusers, domestic abusers, when he was a Rhode Island state representative","Brendan Doherty says U.S. Rep. David Cicilline, when he was a state representative, opposed mandatory sentences for people convicted of domestic violence and child abuse",us rep david cicilline voted tougher laws child abusers domestic abusers rhode island state representative ,brendan doherty us rep david cicilline state representative opposed mandatory sentences people convicted domestic violence child abuse ,0.31,0.8571428571428571,92,0.23809523809523808,ST,N,0.13754360455586231
Barack Obama says minimum wage pays less now than when Ronald Reagan was sworn in,Barack Obama says the minimum wage was higher during Ronald Reagan's first State of the Union,barack obama minimum wage pays less ronald reagan sworn ,barack obama minimum wage higher ronald reagans first state union ,0.36,0.7727272727272727,24,0.07692307692307693,E,ST,0.7765145304745156
"Ad says Obama apologized, showed weakness on Iran","In his first TV interview as president, Obama said we ''should talk to Iran,'' Romney charges",ad obama apologized showed weakness iran ,first tv interview president obama talk iran romney charges ,0.16,0.7391304347826086,48,0.0,ST,N,0.5023287782256718
Mitt Romney says Barack Obama ''traveled around the globe to apologize for America.”,Mitt Romney said Barack Obama began his presidency with an apology tour,mitt romney barack obama traveled around globe apologize america ,mitt romney barack obama began presidency apology tour ,0.31,0.8571428571428571,26,0.0,E,N,1.0000000000000002
Ken Block knocks Republican Allan Fung's donations to controversial Democrats,American LeadHERship ad ignores the three years Allan Fung didn't raise taxes,ken block knocks republican allan fungs donations controversial democrats ,american leadhership ad ignores three years allan fung didnt raise taxes ,0.05,0.7391304347826086,60,0.0,N,N,0.0
DNC ad says Mitt Romney flip-flopped on taxpayer pledge,DNC ad says Mitt Romney flip-flopped on abortion,dnc ad mitt romney flipflopped taxpayer pledge ,dnc ad mitt romney flipflopped abortion ,0.63,0.8333333333333334,13,1.0,N,E,0.6029748160380572
